field0	field1	field2	field3	field4				
CastSpellAtActor( saurok_hack5, saurok_hack5, fieryExplosionSpellID ) --Explode								
CastSpellAtActor( tian, egg1, TransformSpellID )								
CastSpellAtActor( tian, saurok_hack4, TransformSpellID )								
CastSpellAtActor( tian, saurok_hack5, TransformSpellID )								
CastSpellAtActor( troggMain, troggMain, grummleTransformEffectSpellID )								
CastSpellAtActor( zeppelinCannon01, zeppelinTarget02,120673 )								
CastSpellAtActor( zeppelinCannon02, zeppelinTarget01,120673 )								
CastSpellAtActor( zeppelinCannon03, zeppelinTarget03,120673 )								
CastSpellAtActor( zeppelinCannon04, zeppelinTarget04,120682 )								
CastSpellAtActor(chen, mantidLeven01, kickSpell)								
chen = SpawnFadedActorAtPoint( 63381, 3373, false )								
chen:FollowPath(3460, 5)								
"chen:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)"""	0	0						
cho:Despawn()								
cho:PlayLoopingFullBodyAnim(Animations.EmoteReadLoop)								
cho:PlayLoopingFullBodyAnim(Animations.EmoteUseStanding)								
cho:PlayLoopingFullBodyAnim(Animations.SitGround)								
cho:PlayOneShotFullBodyAnim(Animations.EmoteNo)								
cho:PlayOneShotFullBodyAnim(Animations.EmoteTalk)								
cho:PlayOneShotFullBodyAnim(Animations.EmoteTalk)								
cho:PlayOneShotFullBodyAnim(Animations.EmoteTalk)								
cho:PlayOneShotFullBodyAnim(Animations.SitGroundDown)								
cho:SetFacing(128)								
cho:SetFacing(66)								
cho:StopLoopingFullBodyAnim()								
cho:StopLoopingFullBodyAnim()								
clone = SpawnActor( cloneCreatureID, 1843.04, -4417.14, 135.232, 224.772, 1.0, false )								
clone = SpawnActor( cloneCreatureID, 3447.19, -285, 266.9, 215.151, 1.0, false )								
clone:FollowPath( 3246, 3 )								
clone:PlayLoopingFullBodyAnim(Animations.FlyFall)								
clone:PlayOneShotFullBodyAnim(Animations.EmoteCheer)								
clone:SetFacingToAbs(Vector:New(3508.48, -631.563, 122.261))								
count = 1								
crashBunny = SpawnActor( crashbunnyCreatureID, 3172.29, -422.428, 239.355, 203.225, 1, false )								
current = 0								
DEBUG_TABLE(effect)								
dezco = SpawnFadedActorAtPoint( 63394, 3385, false )								
dezco:FollowPathAtSpeed(3529, paradeSpeed)								
dezco:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)								
dezco:WaitMovementComplete()								
egg1: Despawn()								
egg2: Despawn()								
"egg3: Despawn()"""	0	0						
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end								
end 								
end 								
end 								
end 								
end 								
end 								
end 								
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
"end"""	0	0						
FadeIn ( trollPriest01, 0 )								
FadeIn( grummleCheer1, 1)								
FadeIn( grummleCheer2, 1)								
FadeIn( grummleCheer3, 1)								
FadeIn( grummleCheer4, 1)								
FadeIn( grummleIncenseSniffer, 1 )								
FadeIn( grummleMain, 0 )								
FadeIn( grummleMainBag, 1 )								
FadeIn( grummlePacker1, 1 )								
FadeIn( grummlePacker2, 1 )								
FadeIn( grummleVendor1, 1)								
FadeIn( grummleVendor2, 1)								
FadeIn( grummleVendor3, 2)								
FadeIn( grummleVendor4, 2)								
FadeIn( grummleVendor5, 2)								
FadeIn( incense1, 1 )								
FadeIn( incense2, 1 )								
FadeIn( incense3, 1 )								
FadeIn( incense4, 1 )								
FadeIn( lamppost1, 1)								
FadeIn( light_cc, 2 )								
FadeIn( light_cl, 2 )								
FadeIn( light_cr, 1)								
FadeIn( mist, 0 )								
FadeIn( mist, 3 )								
FadeIn( mist, 3 )								
FadeIn( mogu, 7 )								
FadeIn( moguFace, 2 )								
FadeIn( moguFace, 2 )								
FadeIn( moguGrunt01, 1 )								
FadeIn( moguGrunt02, 1 )								
FadeIn( moguMain, 2 )								
FadeIn( moguSlaver02, 1)								
FadeIn( pandarenSlave02, 1)								
FadeIn( pandarenSlave03, 1)								
FadeIn( richPandaren1, 1)								
FadeIn( shadopan01, 1)								
--FadeIn( stinkyPandaren1, 1)								
FadeIn( trogg01, 1 )								
FadeIn( trogg02, 1 )								
FadeIn( trogg03, 1 )								
FadeIn( troggMain, 1 )								
FadeIn( whiteyak, 1)								
FadeIn(ashyo, 0)								
FadeIn(braveA, 0)								
FadeIn(braveB, 0)								
FadeIn(braveC, 0)								
FadeIn(braveD, 0)								
FadeIn(chen, 0)								
FadeIn(dezco, 0)								
FadeIn(egg1, 1)								
FadeIn(egg1, 1)								
FadeIn(egg2, 1)								
FadeIn(egg2, 1)								
FadeIn(egg3, 1)								
FadeIn(egg3, 1)								
FadeIn(hiddenmaster, 0)								
FadeIn(kang, 0)								
FadeIn(kenken, 0)								
FadeIn(koro, 0)								
FadeIn(light_cc, 1)								
FadeIn(light_cc, 1)								
FadeIn(light_cc, 2)								
FadeIn(light_cl, 1)								
FadeIn(light_cl, 1)								
FadeIn(light_cl, 2)								
FadeIn(light_cl, 2)								
FadeIn(light_cr, 1)								
FadeIn(light_cr, 1)								
FadeIn(light_cr, 2)								
FadeIn(light_uc, 2)								
FadeIn(light_ul, 2)								
FadeIn(light_ur, 2)								
FadeIn(lili, 0)								
FadeIn(lin, 0)								
FadeIn(littlesaurok , 1)								
FadeIn(lizard1, 1)								
FadeIn(lizard2, 1)								
FadeIn(lizard3, 1)								
FadeIn(lyalia, 0)								
FadeIn(mantidFarmers01, 0)								
FadeIn(mantidFarmers02, 0)								
FadeIn(mantidFarmers03, 0)								
FadeIn(mantidLeven01, 0)								
FadeIn(mantidLeven02, 0)								
FadeIn(mantidLeven03, 0)								
FadeIn(mantidLeven04, 0)								
FadeIn(missfanny, 0)								
FadeIn(moguMace1, 1)								
FadeIn(moguMace1, 1)								
FadeIn(moguPoleArm1, 1)								
FadeIn(moguPoleArm1, 1)								
FadeIn(moguPoleArm1, 1)								
FadeIn(monkA, 0)								
FadeIn(monkB, 0)								
FadeIn(monkC, 0)								
FadeIn(monkD, 0)								
FadeIn(mudmug, 0)								
FadeIn(pang, 0)								
FadeIn(priestA, 0)								
FadeIn(priestB, 0)								
FadeIn(priestC, 0)								
FadeIn(priestD, 0)								
FadeIn(saurok_hack , 1)								
FadeIn(saurok_hack, 1)								
FadeIn(saurok_hack2, 1)								
FadeIn(saurok_hack3, 1)								
FadeIn(saurok_hack4, 1)								
FadeIn(saurok_hack5, 1)								
FadeIn(saurok_hack6, 1)								
FadeIn(saurok_heal , 1)								
FadeIn(saurok_heal, 1)								
FadeIn(saurok_heal2, 1)								
FadeIn(saurok_heal3, 1)								
FadeIn(saurok_tank , 1)								
FadeIn(saurok_tank2, 1)								
FadeIn(saurok_tank3, 1)								
FadeIn(sentinelA, 0)								
FadeIn(sentinelB, 0)								
FadeIn(sentinelC, 0)								
FadeIn(sentinelD, 0)								
FadeIn(terrorcotta1, 1)								
FadeIn(terrorcotta2, 1)								
FadeIn(tian, 1)								
FadeIn(tian, 1)								
FadeIn(wardenA, 0)								
FadeIn(wardenB, 0)								
FadeIn(wardenC, 0)								
FadeIn(wardenD, 0)								
FadeIn(wardenE, 0)								
FadeIn(wardenF, 0)								
FadeIn(xiao, 0)								
FadeIn(yaungol1, 1)								
FadeIn(yaungol2, 1)								
FadeIn(yimo, 0)								
FadeOut( grummleCheer1, 1)								
FadeOut( grummleCheer2, 1)								
FadeOut( grummleCheer3, 1)								
FadeOut( grummleCheer4, 1)								
FadeOut( grummleIncenseSniffer, 1)								
FadeOut( grummlePacker1, 1)								
FadeOut( grummlePacker2, 1)								
FadeOut( grummleVendor1, 1)								
FadeOut( grummleVendor2, 1)								
FadeOut( grummleVendor3, 1)								
FadeOut( grummleVendor4, 1)								
FadeOut( grummleVendor5, 1)								
FadeOut( incense1, 1)								
FadeOut( incense2, 1)								
FadeOut( incense3, 1)								
FadeOut( incense4, 1)								
FadeOut( lamppost1, 1)								
FadeOut( light_cr, 1)								
FadeOut( mist, 0 )								
FadeOut( mist, 0 )								
"FadeOut( mist, 3)"""	0	0						
FadeOut( mist, 6 )								
FadeOut( mogu, 0 )								
"FadeOut( mogu, 3)"""	0	0						
FadeOut( moguFace, 2 )								
FadeOut( moguFace, 2 )								
--FadeOut( moguFace, 2)								
--FadeOut( moguFace, 2)								
FadeOut( moguGrunt01, 1)								
FadeOut( moguGrunt02, 1)								
FadeOut( moguMain, 1)								
--FadeOut( moguMain, 1)								
FadeOut( moguPoleArm1, 1)								
FadeOut( moguSlaver02, 1)								
FadeOut( pandarenSlave02, 1)								
FadeOut( pandarenSlave03, 1)								
FadeOut( richPandaren1, 1)								
FadeOut( shadopan01, 1)								
--FadeOut( stinkyPandaren1, 1)								
FadeOut( troggMain, 1 )								
FadeOut( whiteyak, 1)								
FadeOut( workDust01, 0 )								
FadeOut( workDust01, 0 )								
FadeOut( workDust02, 0 )								
FadeOut( workDust02, 0 )								
FadeOut( workDust03, 0 )								
FadeOut( workDust03, 0 )								
FadeOut( workDust04, 0 )								
FadeOut( workDust04, 0 )								
FadeOut( workDust05, 0 )								
FadeOut( workDust05, 0 )								
"FadeOut( workDust06, 0 )"""	0	0						
